name_last,name_first,key_fangraphs,key_mlbam,mlb_played_first,hand,Name,mlb_played_last
Hughes,Dusty,6164,458250,2009,L,Dusty Hughes,2011
Hughes,Jared,9325,453172,2011,R,Jared Hughes,2020
Hughes,Phil,7450,461833,2007,R,Phil Hughes,2018
Humber,Philip,8586,458950,2006,R,Philip Humber,2013
Hunter,Tommy,1157,488984,2008,R,Tommy Hunter,2021
Hutchison,Drew,10732,571800,2012,R,Drew Hutchison,2018
Igarashi,Ryota,10232,579799,2010,R,Ryota Igarashi,2012
Iglesias,Raisel,17130,628452,2015,R,Raisel Iglesias,2021
Infante,Greg,9119,500872,2010,R,Greg Infante,2018
Irvin,Cole,19244,608344,2019,L,Cole Irvin,2021
Isringhausen,Jason,1158,116414,1995,R,Jason Isringhausen,2012
Iwakuma,Hisashi,13048,547874,2012,R,Hisashi Iwakuma,2017
Jackson,Edwin,1841,429719,2003,R,Edwin Jackson,2019
Jackson,Luke,11752,592426,2015,R,Luke Jackson,2021
Jackson,Steven,7341,452259,2009,R,Steven Jackson,2010
Jackson,Zach,8356,435638,2006,L,Zach Jackson,2009
Jakubauskas,Chris,7831,499856,2009,R,Chris Jakubauskas,2011
James,Josh,16794,657624,2018,R,Josh James,2020
Jansen,Kenley,3096,445276,2010,R,Kenley Jansen,2021
Janssen,Casey,7355,445163,2006,R,Casey Janssen,2015
Jeffress,Jeremy,9490,502026,2010,R,Jeremy Jeffress,2020
Jenkins,Chad,10326,554432,2012,R,Chad Jenkins,2015
Jenkins,Tyrell,11378,592433,2016,R,Tyrell Jenkins,2016
Jenks,Bobby,8645,408057,2005,R,Bobby Jenks,2011
Jennings,Dan,8073,543359,2012,L,Dan Jennings,2019
Jennings,Jason,434,407298,2001,R,Jason Jennings,2009
Jepsen,Kevin,6475,448178,2008,R,Kevin Jepsen,2018
Jimenez,Cesar,3762,462945,2006,L,Cesar Jimenez,2015
Jimenez,Joe,15761,641729,2017,R,Joe Jimenez,2021
Jimenez,Ubaldo,3374,434622,2006,R,Ubaldo Jimenez,2017
Johnson,Brian,14272,598271,2015,L,Brian Johnson,2019
Johnson,Erik,12520,605304,2013,R,Erik Johnson,2016
Johnson,Jim,3656,462382,2006,R,Jim Johnson,2018
Johnson,Josh,4567,435178,2005,R,Josh Johnson,2013
Johnson,Pierce,13435,572955,2017,R,Pierce Johnson,2021
Johnson,Randy,60,116615,1988,L,Randy Johnson,2009
Johnson,Steve,4053,489002,2012,R,Steve Johnson,2016
Jones,Nate,4696,518858,2012,R,Nate Jones,2021
Jordan,Taylor,10466,518863,2013,R,Taylor Jordan,2015
Jungmann,Taylor,13119,543380,2015,R,Taylor Jungmann,2017
Junis,Jakob,13619,596001,2017,R,Jakob Junis,2021
Jurado,Ariel,17030,642558,2018,R,Ariel Jurado,2020
Jurrjens,Jair,5556,457453,2007,R,Jair Jurrjens,2014
Kahnle,Tommy,11384,592454,2014,R,Tommy Kahnle,2020
Karns,Nate,12638,501992,2013,R,Nate Karns,2019
Karstens,Jeff,5879,444371,2006,R,Jeff Karstens,2012
Kawakami,Kenshin,9225,499877,2009,R,Kenshin Kawakami,2010
Kazmir,Scott,4897,431148,2004,L,Scott Kazmir,2016
Kela,Keone,14696,605309,2015,R,Keone Kela,2021
Keller,Brad,15734,641745,2018,R,Brad Keller,2021
Keller,Mitch,17594,656605,2019,R,Mitch Keller,2021
Kelley,Shawn,7773,518875,2009,R,Shawn Kelley,2019
Kelly,Casey,9174,543391,2012,R,Casey Kelly,2018
Kelly,Joe,9761,523260,2012,R,Joe Kelly,2021
Kelly,Merrill,11156,518876,2019,R,Merrill Kelly,2021
Kendrick,Kyle,6230,452718,2007,R,Kyle Kendrick,2017
Kennedy,Ian,6986,453178,2007,R,Ian Kennedy,2021
Kensing,Logan,6166,434137,2004,R,Logan Kensing,2016
Keppel,Bobby,2229,430670,2006,R,Bobby Keppel,2009
Kershaw,Clayton,2036,477132,2008,L,Clayton Kershaw,2021
Keuchel,Dallas,9434,572971,2012,L,Dallas Keuchel,2021
Kikuchi,Yusei,20633,579328,2019,L,Yusei Kikuchi,2021
Kimbrel,Craig,6655,518886,2010,R,Craig Kimbrel,2021
Kingham,Nick,11694,592468,2018,R,Nick Kingham,2019
Kinley,Tyler,18297,641755,2018,R,Tyler Kinley,2021
Kinney,Josh,3638,448337,2006,R,Josh Kinney,2012
Kintzler,Brandon,9939,445213,2010,R,Brandon Kintzler,2021
